timestamp,ax,ay,az,gx,gy,gz
9583,-32768,18536,-23428,-32768,-10174,-2962
9604,-32768,16500,-28980,-32768,-3547,-9720
9626,-31792,13380,-32768,-23385,8181,-16857
9647,-27024,10484,-32768,-11110,17562,-23811
9670,-21012,8056,-32768,1687,25819,-29494
9692,-13556,7036,-32768,13911,31995,-32768
9715,-6404,6732,-32768,24015,32767,-32768
9736,684,6860,-26908,30006,26535,-30936
9753,6280,6252,-21492,32767,26290,-26845
9780,6888,4304,-14008,32767,32767,-21522
9797,9220,1412,-6572,32767,27738,-14519
9824,13228,-1348,-4676,32767,20127,-7428
9846,11920,-2384,-4076,32767,32141,-705
9868,8324,-2748,2044,32767,32767,6601
9885,9552,-5188,8688,26975,23581,14097
9908,9396,-7984,13928,19331,18192,21475
9933,4280,-6976,19232,11302,19957,28749
9956,-3692,-4064,23900,-344,13043,32767
9977,-10708,-1356,25404,-13318,2597,32767
10000,-18984,2740,21224,-23231,3099,32767
10012,-27012,7840,13732,-30151,621,32767
10043,-32396,12324,8996,-32768,3686,31857
10066,-32768,13028,5536,-32768,5909,25345
10086,-32768,17092,924,-32768,-1475,15128
10107,-32768,15448,-3480,-32768,-13530,3649
10132,-32768,13864,-8532,-32768,-1319,-6810
10153,-32768,14244,-14920,-32768,8255,-16207
10168,-29040,15480,-21752,-32768,7805,-22701
10199,-22832,15152,-26784,-28896,6477,-27101
10219,-17956,12976,-32400,-24414,3776,-30060
10241,-11196,10040,-32768,-17991,3691,-31732
10263,-4912,5852,-32768,-7270,10494,-32227
10286,1088,3404,-32768,6951,20433,-31643
10307,6716,2008,-32768,20582,28771,-29099
10330,10184,1596,-31088,29223,28002,-24399
10352,11616,960,-24280,32767,24921,-19169
10374,12844,2504,-18516,32767,26043,-13659
10396,15080,884,-12564,32767,17339,-7274
10418,16724,-276,-8412,32767,15826,-534
10439,13836,-936,-5408,32767,23151,6165
10457,8224,-2896,788,32087,19048,12065
10482,8464,-3544,4540,26880,9795,16551
10496,6492,-4952,8772,23398,13653,20583
10527,1340,-4980,16160,17431,14526,24652
10547,-2412,-4156,22876,6977,3029,28133
10572,-7520,-4916,26016,-3220,-1208,30590
10594,-14776,-3808,26928,-12695,2808,31670
10615,-20588,736,22816,-22622,-1011,31079
10634,-23268,3616,16032,-30222,-6229,29531
10660,-26076,5200,8364,-32768,-8184,27925
10681,-29616,7544,3144,-32768,-11557,25224
10703,-32768,8264,1644,-32768,-9724,21758
10718,-32768,8936,-2080,-32768,-7957,16712
10748,-32768,10228,-6032,-32768,-7872,9430
10770,-32768,10700,-7204,-32768,-2048,2207
10792,-32768,11652,-10552,-32768,-1063,-4360
10814,-30812,12948,-18020,-32768,-8144,-9093
10836,-26544,11480,-22276,-30109,-2747,-12546
10859,-24760,10052,-25768,-23445,4837,-16208
10873,-23392,8108,-30212,-15902,10014,-20739
10902,-18456,5084,-32768,-6359,16909,-24962
10923,-12600,4632,-32768,4835,24927,-27480
10946,-7632,2956,-32768,14698,27324,-28150
10968,-2172,2724,-29372,22299,25875,-26821
10990,2264,1820,-25296,28280,25378,-23790
11012,5184,1044,-20452,32431,25334,-20051
11033,7720,468,-16356,32767,28270,-16068
11053,8068,232,-12804,32767,32767,-11401
11077,7848,1232,-7680,32767,32767,-5746
11099,8964,-472,-1120,32767,25453,521
11119,10676,-3172,2892,32767,19652,6178
11143,8696,-5340,7140,30476,28508,12688
11157,4812,-6692,16452,20909,19296,19769
11187,3576,-7372,21044,9037,7507,25483
11209,-1428,-6892,23360,496,13707,29813
11232,-9856,-3376,25036,-10725,8077,32548
11254,-12996,1576,22468,-21617,-1378,32767
11275,-18212,5780,17228,-29025,-2104,32767
11298,-24576,9752,12896,-32768,-3784,32767
11320,-30020,12084,9672,-32768,-4139,31585
11342,-32768,14268,5872,-32768,-19635,28217
11364,-32768,13488,-1308,-32768,-21395,25252
11385,-32768,13156,-7136,-32768,-13559,19393
11408,-32768,11980,-9128,-32748,-6448,10028
11430,-32768,9760,-9020,-29084,-1763,-271
11452,-32768,9304,-9728,-26320,4591,-8170
11473,-30264,10028,-11008,-25848,2194,-12979
11496,-24784,10804,-13616,-25225,25,-15386
11518,-21580,10368,-15612,-23476,2114,-17257
11540,-20088,8668,-18992,-21298,3037,-19275
11562,-17972,8292,-24524,-16911,6112,-21799
11585,-15840,7292,-30472,-9346,12551,-24670
11606,-13592,5868,-32768,1892,22373,-28008
11625,-8420,6620,-32768,15498,31798,-30954
11647,-3612,6272,-31824,30209,32767,-31530
11669,-440,6228,-22304,32767,32767,-29292
11685,3860,4612,-13240,32767,32767,-24614
11715,9192,1688,-7052,32767,28371,-18512
11737,15388,-1300,-2456,32767,21152,-11234
11757,15960,-5420,184,32767,27323,-2893
11781,10760,-7064,6000,32646,32767,5859
11803,11460,-8548,13404,21905,13636,14295
11819,11436,-9548,18420,13927,12039,21804
11847,4276,-10400,25856,3483,12996,28043
11870,-1780,-7316,28788,-10675,3482,32663
11892,-7584,-764,24540,-22450,2184,32767
11913,-16712,6040,16428,-30950,4589,32767
11936,-25240,10588,8540,-32768,1535,32767
11958,-31708,12484,3700,-32768,4256,28626
11979,-32768,12144,2176,-32768,123,20683
12002,-32768,13056,-2552,-32768,-3646,10620
12024,-32768,14000,-7420,-32768,-4334,946
12045,-32768,17264,-12400,-32768,-8293,-5547
12067,-29920,19152,-17100,-32768,-14893,-9018
12088,-27812,17628,-22648,-32768,-16140,-11103
12113,-28532,15860,-31480,-32768,-17050,-13168
12133,-29096,13188,-32768,-32065,-10224,-16803
12156,-25492,9736,-32768,-15635,866,-22024
12178,-19592,5612,-32768,3858,17411,-26251
12200,-15552,5804,-32768,19351,26347,-28265
12222,-11800,7244,-32768,26802,20428,-28489
12244,-5048,7984,-27876,29302,10682,-27632
12265,2732,7188,-26232,32741,9530,-24723
12288,7140,5920,-21720,32767,15578,-20216
12310,7832,6636,-14688,32767,26500,-14652
12332,8008,5804,-6984,32767,32767,-8087
12354,8752,2748,636,32767,32767,-401
12375,12184,-1012,7580,32767,32767,8220
12396,9708,-4180,11776,31103,32767,17004
12418,2420,-2200,15376,21386,32767,24616
12442,-1444,-1532,19340,6807,6387,30563
12463,-6052,1584,19512,-1195,1980,32767
12485,-17592,3456,20324,-7277,4206,32767
12508,-25480,5912,21168,-13354,4187,31348
12530,-32172,8188,22084,-21131,1052,25967
12552,-32768,8712,21184,-30250,-4557,18928
12574,-32768,9456,16412,-32768,-6334,12697
12596,-32768,12320,8408,-32768,-2538,7808
